neo_id,name,discovery_date,potentially_hazardous
141527,141527 (2002 FG7),1990-07-23,1
141531,141531 (2002 GB),2002-04-01,0
141593,141593 (2002 HK12),1985-06-11,1
141614,141614 (2002 JV15),2002-04-26,1
141670,141670 (2002 JS100),2002-05-11,0
141761,141761 (2002 MC),2002-06-16,0
141765,141765 (2002 MP3),1988-05-22,0
141851,141851 (2002 PM6),2000-09-20,1
141874,141874 (2002 PO34),2001-03-05,0
142040,142040 (2002 QE15),1993-04-20,0
142348,142348 (2002 RX211),1999-09-11,0
142464,142464 (2002 TC9),1991-09-14,0
142555,142555 (2002 TB58),2002-09-05,0
142561,142561 (2002 TX68),2002-10-08,0
142563,142563 (2002 TR69),1997-01-31,0
142781,142781 (2002 UM11),2001-06-23,0
143381,143381 (2003 BC21),1982-04-13,0
143404,143404 (2003 BD44),1981-02-28,1
143409,143409 (2003 BQ46),2002-11-19,0
143487,143487 (2003 CR20),1975-10-06,1
143527,143527 (2003 EN16),2003-03-08,0
143624,143624 (2003 HM16),2003-04-27,0
143637,143637 (2003 LP6),2003-06-12,0
143643,143643 (2003 NP7),2000-08-05,0
143649,143649 (2003 QQ47),2003-08-24,1
143651,143651 (2003 QO104),1981-07-10,1
143678,143678 (2003 SA224),1979-10-09,0
143947,143947 (2003 YQ117),2002-03-15,0
143992,143992 (2004 AF),1985-01-21,1
144332,144332 (2004 DV24),1955-04-24,1
144411,144411 (2004 EW9),2001-03-14,0
144861,144861 (2004 LA12),2002-03-12,0
144898,144898 (2004 VD17),2002-02-16,1
144900,144900 (2004 VG64),2004-11-13,1
144901,144901 (2004 WG1),2004-09-22,0
144922,144922 (2005 CK38),1977-03-15,0
145656,145656 (4788 P-L),1960-09-24,0
152558,152558 (1990 SA),1990-09-14,0
152560,152560 (1991 BN),1991-01-19,1
152561,152561 (1991 RB),1977-08-19,1
152563,152563 (1992 BF),1953-01-10,0
152564,152564 (1992 HF),1992-04-24,0
152575,152575 (1994 GY),1994-04-14,0
152637,152637 (1997 NC1),1997-07-05,1
152664,152664 (1998 FW4),1994-03-09,1
152667,152667 (1998 FR11),1956-03-10,0
152671,152671 (1998 HL3),1998-04-21,1
152679,152679 (1998 KU2),1971-10-21,0
152680,152680 (1998 KJ9),1990-01-01,1
152685,152685 (1998 MZ),1998-06-18,1
152742,152742 (1998 XE12),1995-11-30,0
152754,152754 (1999 GS6),1999-04-15,1
152756,152756 (1999 JV3),1978-04-12,0
152770,152770 (1999 RR28),1987-04-20,1
152787,152787 (1999 TB10),1999-10-07,0
152828,152828 (1999 VT25),1999-11-12,1
152889,152889 (2000 CF59),1998-02-24,0
152895,152895 (2000 CQ101),1955-03-14,0
152931,152931 (2000 EA107),2000-03-15,0
152941,152941 (2000 FM10),2000-03-30,0
152942,152942 (2000 FN10),2000-03-30,0
152952,152952 (2000 GC2),1992-03-26,0
