observatory_code,observatory_name,longitude,parallax_cos,parallax_sin
467,Auckland Observatory,174.7766,0.80058,-0.59724
468,"Astronomical Observatory, Campo Catino",13.3296,0.74652,0.66349
469,Courroux,7.382,0.67873,0.73205
470,Ceccano,13.32756,0.749268,0.660088
471,Houstrup,8.2389,0.56364,0.82325
472,Merlette,6.3203,0.71225,0.69998
473,Remanzacco,13.31661,0.694793,0.716822
474,"Mount John Observatory, Lake Tekapo",170.46496,0.720773,-0.691079
475,Turin (before 1913),7.6965,0.70747,0.70443
476,"Grange Observatory, Bussoleno",7.14074,0.706597,0.705359
477,Galleywood,0.4856,0.62103,0.78117
478,Lamalou-les-Bains,3.0896,0.72548,0.68597
479,Sollies-Pont,6.0505,0.7302,0.68096
480,Cockfield,0.7733,0.61466,0.78616
481,Moorwarfen,7.93067,0.595365,0.800771
482,St. Andrews,-2.8146,0.5556,0.82866
483,"Carter Observatory, Black Birch Station",173.8036,0.74734,-0.66254
484,"Happy Valley, Wellington",174.7594,0.75191,-0.65706
485,"Carter Observatory, Wellington",174.7654,0.75256,-0.65635
486,Palmerston North,175.47,0.765,-0.643
487,Macnairston Observatory,-4.5556,0.56858,0.81989
488,Newcastle-upon-Tyne,-1.6336,0.57486,0.81553
489,Hemingford Abbots,-0.13,0.612,0.788
490,Wimborne Minster,-2.0,0.633,0.772
491,Centro Astronomico de Yebes,-3.1,0.76131,0.64644
492,Mickleover,-1.53,0.605,0.795
493,Calar Alto,-2.5458,0.79753,0.60182
494,Stakenbridge,-2.1639,0.61126,0.78879
495,Altrincham,-2.33753,0.597857,0.798936
496,Bishopstoke,-1.314,0.6311,0.7731
497,Loudwater,-0.70551,0.622323,0.78016
498,Earls Barton,-0.7419,0.61334,0.78718
499,Cheam,-0.20922,0.625578,0.777562
500,Geocentric,0.0,0.0,0.0
501,Herstmonceux,0.3475,0.63237,0.77208
502,Colchester,0.84793,0.618111,0.783475
503,Cambridge,0.0948,0.614,0.78667
504,Le Creusot,4.3944,0.68553,0.7257
505,Simon Stevin,4.5639,0.6229,0.7797
506,Bendestorf,9.96,0.598,0.797
507,Nyenheim,5.22,0.617,0.783
508,Zeist,5.29,0.617,0.783
509,La Seyne sur Mer,5.8725,0.73132,0.67976
510,Siegen,8.0256,0.63185,0.77257
511,Haute Provence,5.7157,0.7214,0.69034
512,Leiden (before 1860),4.4893,0.61477,0.78606
513,Lyons,4.7855,0.69971,0.71209
514,Mundenheim (1907-1913),8.438,0.6513,0.7563
515,"Volkssternwarte Dhaun, near Kirn",7.4956,0.64656,0.76038
516,Hamburg (before 1909),9.97321,0.595399,0.800741
517,Geneva (from 1967),6.1358,0.69201,0.71957
518,"Marine Observatory, Hamburg",9.9727,0.59545,0.80071
519,Meschede,8.2867,0.62598,0.77729
520,Bonn,7.0966,0.63427,0.77053
521,"Remeis Observatory, Bamberg",10.88794,0.645624,0.761154
522,Strasbourg,7.7677,0.66279,0.74633
523,Frankfurt,8.6512,0.64251,0.76374
524,Mannheim,8.4605,0.6509,0.7566
525,Marburg,8.76917,0.633171,0.771473
526,Kiel,10.1477,0.58426,0.80886
527,Altona,9.9431,0.5955,0.8007
528,Gottingen,9.9426,0.6234,0.77931
529,Christiania,10.7229,0.50259,0.86163
530,Lubeck,10.6898,0.5911,0.8039
531,"Collegio Romano, Rome",12.4797,0.74545,0.66434
532,Munich,11.6084,0.66853,0.7413
533,Padua,11.8715,0.70335,0.70847
534,Leipzig (since 1861),12.3913,0.62606,0.77719
535,Palermo,13.3578,0.78782,0.61386
536,Berlin-Babelsberg,13.1062,0.61135,0.78873
537,"Urania Observatory, Berlin",13.3642,0.6097,0.79
538,Pola,13.8461,0.70998,0.70187
539,Kremsmunster,14.1316,0.66968,0.74024
540,Linz,14.2753,0.6647,0.74477
541,Prague,14.3953,0.64306,0.76331
542,Falkensee,13.0374,0.6091,0.7904
543,Leipzig (before 1861),12.3688,0.626,0.7772
544,"Wilhelm Foerster Observatory, Berlin",13.35131,0.610644,0.789263
545,Vienna (before 1879),16.3817,0.66767,0.742
546,"Oppolzer Observatory, Vienna",16.3549,0.6676,0.74207
547,Breslau,17.0363,0.62904,0.77479
548,Berlin (1835-1913),13.395,0.60999,0.78976
549,Uppsala,17.6257,0.50341,0.86116
550,Schwerin,11.4196,0.5943,0.8015
551,Hurbanovo,18.1895,0.67201,0.73808
552,"Osservatorio S. Vittore, Bologna",11.3418,0.71485,0.697
553,Chorzow,18.9938,0.64002,0.76574
554,"Burgsolms Observatory, Wetzlar",8.3959,0.63684,0.76845
555,Cracow-Fort Skala,19.8263,0.64336,0.76306
556,"Reintal, near Munich",11.26,0.675,0.734
557,Ondrejov,14.77961,0.64525,0.761529
558,Warsaw,21.0303,0.61396,0.78672
559,Serra La Nave,14.98,0.793,0.607
560,Madonna di Dossobuono,10.931,0.703262,0.708561
561,Piszkesteto Stn. (Konkoly),19.89367,0.671543,0.738689
