neo_id,diameter,absolute_magnitude,albedo,spectral_class
511777,0.194,20.14,0.358,
511808,0.746,18.67,0.105,
513550,1.451,17.18,0.111,
514041,5.272,15.65,0.037,
514652,0.741,18.31,0.154,
515049,0.351,19.3,0.273,
516803,0.463,19.52,0.144,
516984,1.824,18.26,0.04,
518507,0.794,19.94,0.034,
518810,0.083,21.85,0.448,
520808,0.704,20.01,0.032,
523589,1.851,17.79,0.047,
523595,0.658,18.37,0.195,
523631,0.564,18.94,0.167,
523632,0.309,21.51,0.042,
523636,0.55,19.42,0.086,
523637,0.602,19.53,0.059,
523664,0.346,18.52,0.536,
523747,0.873,18.82,0.077,
523775,0.279,19.11,0.569,
523816,0.851,18.14,0.141,
523826,0.3,20.34,,
529668,1.778,17.89,0.047,
529718,1.77,16.83,0.129,
529720,0.361,21.33,0.037,
529753,0.363,19.65,0.178,
529819,0.259,20.86,0.095,
530531,0.28,20.24,0.187,
530871,1.434,17.25,,
530938,0.413,19.29,0.197,
532874,0.31,19.64,0.266,
533722,0.701,18.11,0.249,
534676,0.691,18.53,0.123,
535148,0.861,18.38,0.114,
537829,0.312,19.51,0.214,
538212,0.654,19.35,0.079,
612929,1.201,18.95,0.034,
613726,0.26,21.34,0.072,
613939,0.322,19.25,0.355,
613995,0.193,22.85,0.023,
614316,0.382,20.25,0.111,
614521,0.28,19.92,0.225,
614599,1.671,18.31,0.03,
614603,1.168,18.52,0.057,
614643,0.493,18.87,0.241,
618348,0.16,20.22,0.495,
620091,1.248,17.87,0.094,
620094,1.374,18.98,0.031,
666241,0.118,22.04,0.205,
675481,0.492,17.82,0.563,
676261,1.99,17.89,0.031,
676362,0.686,19.96,0.041,
706765,0.379,20.78,0.059,
723661,0.848,18.84,,
726196,0.615,20.02,0.035,
738442,2.73,17.21,0.024,
741537,0.307,19.41,0.246,
749081,0.453,18.93,0.26,
749593,0.233,20.04,0.296,
750500,0.242,21.38,0.091,
753131,1.403,18.87,0.023,
778852,0.511,20.47,0.043,
786229,0.936,19.49,0.032,
828534,1.316,19.47,0.018,
831781,0.731,19.77,0.04,
832994,0.285,19.36,0.378,
833009,0.277,19.64,0.334,
833459,0.543,19.72,0.086,
841631,1.417,19.02,0.02,
841703,0.62,19.25,0.088,
842528,2.23,17.33,0.037,
843003,0.199,20.87,0.195,
843651,0.681,17.72,0.289,
861128,4.613,16.27,0.019,
862524,0.296,19.26,0.461,
875163,0.383,20.88,0.058,
877413,0.313,19.27,0.377,
877685,0.124,21.55,0.29,
878228,3.079,18.09,0.012,
883088,0.174,20.91,0.304,
883378,1.862,18.24,0.011,
1996 GQ,0.208,23.19,0.024,
1998 KY26,0.011,25.91,0.52,
1998 WB2,0.15,21.85,0.151,
1999 XK136,0.811,20.56,0.02,
2000 AA6,0.316,22.44,0.026,
2000 AG205,0.955,19.58,0.026,
2000 GW127,0.477,19.4,0.135,
2000 RE52,0.149,22.33,0.095,
2001 SJ262,0.34,19.9,0.177,C
2002 AO11,0.175,23.05,0.048,
2002 BF25,0.152,22.62,0.1,
2002 BM26,0.84,20.1,0.023,X
2002 CT46,0.16,20.8,0.32,S
2002 CX58,0.13,22.3,0.126,
2002 JR100,0.028,24.3,0.441,
2003 CC11,1.129,19.09,0.032,
2003 RW11,1.507,18.7,0.026,
2003 SS214,0.856,20.22,0.022,
2004 BZ74,0.962,18.27,0.11,
2004 MX2,1.258,19.3,0.021,
2004 SC56,0.291,22.7,0.017,
2004 XK14,0.24,22.44,0.034,
2005 QL,1.847,18.79,0.017,
