spkid,data_arc,condition_code
20326302,7596,0
20326332,7457,0
20326354,8260,0
20326386,8757,0
20326388,8653,0
20326683,8531,0
20326732,8035,0
20326742,7814,0
20326777,7943,0
20326946,7742,0
20327140,2581,0
20328059,7027,0
20329275,9746,0
20329291,8960,0
20329338,8281,0
20329340,8277,0
20329343,7263,0
20329390,7375,0
20329395,7319,0
20329437,7729,0
20329520,8215,0
20329571,8463,0
20329614,8321,0
20329669,17865,0
20329713,8088,0
20329770,6986,0
20329774,7649,0
20329915,8095,1
20330233,6891,0
20330659,7366,0
20330809,6318,0
20330825,7720,0
20331471,14586,0
20331509,9558,0
20331510,12647,0
20331769,8028,0
20331792,10212,0
20331876,7829,0
20331963,6962,0
20331990,7679,0
20331999,6522,0
20332408,6696,0
20332446,8690,0
20332775,5411,0
20333284,9680,0
20333311,8148,0
20333358,8833,0
20333478,7666,0
20333480,7570,0
20333510,7217,0
20333521,7487,0
20333555,7397,0
20333578,9055,0
20333707,8787,0
20333755,9161,0
20333888,9045,0
20333889,9506,0
20333908,9452,0
20334412,7774,0
20334673,8287,0
20335746,6957,0
20335758,6942,0
20337053,9840,0
20337069,9921,0
20337075,9319,0
20337084,9264,0
20337118,9133,0
20337119,9482,0
20337248,8813,0
20337252,8794,0
20337345,8426,0
20337557,8080,0
20337558,8313,0
20337866,8467,0
20338049,8656,0
20338172,8583,0
20338176,7908,0
20338292,8342,0
20338347,7231,0
20338567,7884,0
20339492,14960,0
20339714,10432,0
20339715,8861,0
20340048,6956,0
20340291,6502,0
20340666,7094,0
20341050,13586,0
20341816,8502,0
20341843,6500,0
20342866,1958,0
20343098,17813,0
20343158,7760,0
20343166,8493,0
20344074,10290,0
20344076,10202,0
20344133,9338,0
20344143,9011,0
20344756,7631,0
20345646,5268,0
20345705,6651,0
20345722,6958,0
20345813,9762,0
20345853,13349,0
20347634,8833,0
20347813,7983,0
20348304,10021,0
20348306,7638,0
20348314,7644,0
20348400,8474,0
20348461,7322,0
20348595,6993,0
20348776,11751,0
20349063,6988,0
20349068,6799,0
20349074,8055,0
20349219,5957,0
20349507,12491,0
20349925,6733,0
20349928,9059,0
20350462,9131,0
20350513,9550,0
20350523,9522,0
20350536,8948,0
20350713,8114,0
20350751,8035,0
20350964,8432,0
20350988,8230,0
20351278,7827,0
20351331,7708,0
20351340,7000,0
20351370,7559,0
20351508,6004,0
20351545,7379,0
20351815,6813,0
20352102,6587,0
20352143,6481,0
20353190,9332,0
20353938,8559,0
20353947,8745,0
20354030,8251,0
20354101,8346,0
20354127,8140,0
20354182,8333,0
20354332,8215,0
20354663,7291,0
20354713,10941,0
20354876,6920,0
20354952,15467,0
20355046,7962,0
20355256,11008,0
20355770,27108,0
20356285,8329,0
20356394,6824,0
20356991,9223,0
20357005,5173,0
20357022,9065,0
20357024,9580,0
20357028,9516,0
20357058,8644,0
20357311,25333,0
20357414,17786,0
20357439,8071,0
20357594,8008,0
20357618,5820,0
20357621,7296,0
20357622,7632,0
20358453,11681,0
20358471,6826,0
20358744,7989,0
20359170,2235,1
20359242,6137,0
20359369,4406,0
20359592,9187,0
20360191,8984,0
20360192,12238,0
20360433,8339,0
20360502,7006,0
20361071,11381,0
20361123,8556,0
20361518,15604,1
20361532,6555,0
20361538,7855,0
20361611,10180,0
20361689,8277,0
20361754,7955,0
20361861,6683,0
20362310,20860,0
20363024,9371,0
20363027,9517,0
20363067,7383,0
20363069,7502,0
20363071,9391,0
20363075,8220,0
20363076,8150,0
20363084,8903,0
20363116,8770,0
20363163,8575,0
20363267,8286,0
20363298,7997,0
20363305,8226,0
20363344,8556,0
20363505,26035,0
20363599,8048,0
20363617,7377,0
20363626,7543,0
20363734,7755,0
20363790,14866,0
20363814,6981,0
20363831,5299,0
20364136,7339,0
20364762,4229,0
20364877,5914,0
20365014,6220,0
20365071,3170,0
20365246,8354,0
20365424,1103,1
20365449,2988,0
20366470,8206,0
20366615,7467,0
20366733,7791,0
20366746,6263,0
20366774,6926,0
20366833,6398,0
20367248,2183,1
20367390,8028,0
20367525,6558,0
20367638,10222,0
20367684,3919,0
20367789,5397,0
20367943,364,0
20368184,9142,0
20368203,4456,0
20368565,7753,0
20368664,6993,0
20368790,5690,0
20368949,6707,0
20369057,2700,0
20369264,5604,0
20369296,7978,0
20369452,4803,0
20369454,9220,0
20369983,9915,1
20369984,7648,0
20369986,9844,0
20370037,8785,0
20370061,8299,0
20370307,8085,0
20370688,6798,0
20370702,7928,0
20371336,4180,0
20371660,6894,0
20371973,6265,0
20373135,6998,0
20373393,25109,0
20373428,8661,0
20373503,9035,0
20373579,8707,0
20374038,8018,0
20374158,8781,0
20374188,7214,0
20374267,7604,0
20374449,7166,0
20374851,8092,0
20374855,8469,0
20375054,4180,0
20375103,7390,0
20375505,9991,0
20375657,1699,0
20376707,9961,0
20376729,12518,0
20376775,17034,0
20376778,8458,0
20376788,6963,0
20376848,7393,0
20376864,8305,0
20376879,7295,0
20376883,8702,1
20377097,27052,0
20377732,7174,0
20377972,8389,0
20378124,6597,0
