spkid,e,q,i,moid,moid_ld
3761737,0.2364,1.023,5.53,0.0561,21.8
3761742,0.3994,1.005,20.99,0.153,59.7
3761739,0.7334,0.553,2.35,0.0312,12.1
3761738,0.2097,0.948,8.84,0.0405,15.8
3761744,0.5650,0.869,3.75,0.0104,4.04
3761741,0.2656,1.060,26.73,0.0866,33.7
3761743,0.6501,0.987,2.14,0.0226,8.79
3761749,0.2656,1.187,13.98,0.245,95.4
3761748,0.5356,1.210,9.76,0.254,98.7
3761747,0.4214,0.582,9.46,0.0471,18.3
3761750,0.1943,0.871,5.35,0.0776,30.2
3761751,0.1562,0.799,16.88,0.0419,16.3
3761752,0.4542,0.858,1.73,0.00645,2.51
3762122,0.3611,1.126,9.81,0.139,54.3
3762123,0.3842,1.074,19.82,0.308,120
3762130,0.6207,1.283,14.90,0.285,111
3762124,0.3351,1.161,22.44,0.169,65.8
3762127,0.5788,0.944,12.20,0.15,58.3
3762126,0.4430,0.577,25.05,0.251,97.5
3762128,0.3798,1.197,22.30,0.253,98.4
3762125,0.5621,0.791,2.19,0.0143,5.55
3762129,0.5585,1.046,1.41,0.0543,21.1
3762171,0.4461,0.734,0.90,0.00272,1.06
3762164,0.1736,0.951,14.50,0.0819,31.9
3762172,0.3471,1.026,14.14,0.0582,22.7
3762169,0.4122,1.027,39.09,0.127,49.5
3762168,0.1944,1.093,9.48,0.105,40.9
3762166,0.1857,0.826,10.05,0.000972,0.378
3762165,0.2970,0.653,43.86,0.0843,32.8
3762173,0.4980,1.006,0.66,0.0112,4.36
3762170,0.2627,0.997,12.93,0.0178,6.92
3762438,0.5654,1.059,7.90,0.0934,36.3
3762436,0.5400,0.703,3.49,0.0303,11.8
3762440,0.1694,0.967,12.99,0.0556,21.6
3762437,0.2461,0.710,25.52,0.0514,20
3762885,0.3514,1.088,11.45,0.147,57.3
3762886,0.6322,0.989,10.13,0.00475,1.85
3762882,0.5522,1.110,3.66,0.126,49
3762883,0.5295,0.987,4.71,0.0139,5.4
3763097,0.7745,0.614,26.97,0.328,127
3763102,0.3065,0.953,0.97,0.00695,2.7
3763100,0.5891,0.826,2.03,0.00668,2.6
3763269,0.3093,0.790,19.34,0.017,6.62
54512566,0.2093,0.775,2.73,\N,\N
54512567,0.2668,0.939,15.40,\N,\N
54512568,0.2453,0.889,10.16,\N,\N
54512569,0.1938,0.888,12.65,\N,\N
54512570,0.2937,0.966,26.30,\N,\N
54512571,0.3435,0.843,25.89,\N,\N
54512564,0.5397,0.987,14.58,\N,\N
54512565,0.5742,0.754,2.08,\N,\N
3762435,0.5349,0.428,29.69,0.000703,0.274
3763099,0.3746,0.976,9.87,0.0355,13.8
3763098,0.3443,0.590,9.47,0.00345,1.34
3763101,0.2731,0.984,2.73,0.00208,0.809
3763232,0.7735,0.398,5.91,0.0412,16
3763329,0.4520,1.298,9.02,0.293,114
3763270,0.6576,0.848,2.66,0.00113,0.439
3763268,0.3283,0.781,3.47,0.00655,2.55
3763271,0.3320,0.678,2.46,0.00159,0.617
3763272,0.4816,0.905,24.31,0.103,40.2
3763275,0.3249,0.698,4.18,0.00787,3.06
3763273,0.4217,0.682,29.23,0.0221,8.62
3763274,0.3189,0.514,1.22,0.00151,0.586
3763276,0.6861,0.719,13.37,0.0329,12.8
3763279,0.3856,0.650,26.30,0.0221,8.58
3763284,0.4288,0.561,1.62,0.00765,2.98
3763282,0.5663,0.666,2.80,0.000184,0.0715
3763280,0.5886,1.228,6.58,0.245,95.4
3763278,0.5295,1.209,0.74,0.218,85
3763286,0.2111,0.736,4.41,0.0206,8.03
3763281,0.4824,0.544,5.60,0.0805,31.3
3763283,0.1336,1.047,27.33,0.0786,30.6
3763285,0.2480,1.039,12.79,0.122,47.3
3763337,0.5388,0.553,3.50,0.00217,0.846
3763338,0.1283,0.974,10.63,0.00655,2.55
3763339,0.1384,0.924,24.00,0.0137,5.34
3763414,0.4270,1.255,19.75,0.406,158
3763424,0.6442,0.599,9.87,0.108,42.1
3763421,0.3436,1.038,7.13,0.0641,25
3763419,0.4990,1.019,4.32,0.0475,18.5
3763423,0.6018,0.709,2.64,0.0214,8.32
3763417,0.5399,1.011,1.75,0.0223,8.68
3763422,0.4209,1.187,8.23,0.216,84
3763420,0.5836,1.024,14.04,0.0901,35
3763418,0.5169,0.761,9.19,0.0154,5.98
3763416,0.1569,1.019,28.73,0.0619,24.1
3763425,0.5058,0.979,11.16,0.0307,11.9
3763428,0.6712,0.782,22.63,0.202,78.6
3763429,0.5478,0.446,26.79,0.25,97.5
3763427,0.6067,0.992,5.31,0.0353,13.7
3763426,0.2127,0.986,12.65,0.0246,9.58
3763430,0.2817,1.018,10.48,0.0274,10.6
3763483,0.5333,1.232,15.54,0.26,101
3763476,0.5073,1.247,30.66,0.413,161
3763480,0.6182,0.912,45.16,0.173,67.5
3763481,0.6822,0.500,34.48,0.0281,11
3763478,0.1142,1.068,17.78,0.078,30.4
3763475,0.1510,1.098,2.16,0.114,44.3
3763479,0.2649,1.015,13.63,0.027,10.5
3763477,0.6414,0.717,10.23,0.0156,6.08
3763482,0.4087,0.980,12.78,0.0332,12.9
3763544,0.6598,0.671,10.18,0.152,59.2
3763548,0.6300,1.095,4.72,0.119,46.1
3763553,0.2614,1.231,46.02,0.379,148
3763554,0.4712,1.229,9.83,0.244,95.1
3763551,0.1747,1.087,39.55,0.097,37.7
3763546,0.5915,0.888,4.95,0.0571,22.2
3763550,0.5583,0.615,5.99,0.00946,3.68
3763545,0.4282,1.254,25.17,0.408,159
3763547,0.1102,0.992,11.81,0.0036,1.4
3763552,0.3730,0.953,5.40,0.00119,0.463
3763595,0.6691,0.531,12.35,0.205,79.9
3763598,0.5758,0.629,6.57,0.0438,17.1
3763594,0.5511,1.054,4.93,0.0695,27.1
3763596,0.5818,1.058,2.25,0.0715,27.8
3763597,0.6129,0.947,6.18,0.00278,1.08
3763620,0.4897,1.091,4.52,0.107,41.7
3763625,0.5153,1.227,31.74,0.366,143
3763621,0.4062,0.993,14.90,0.0486,18.9
3763622,0.4055,1.081,10.84,0.0947,36.9
3763628,0.3258,0.962,5.78,0.0103,4.01
3763627,0.4925,0.728,10.34,0.0337,13.1
3763623,0.6316,0.777,7.69,0.0179,6.97
3763626,0.4668,1.235,26.24,0.265,103
3763624,0.2732,1.050,18.55,0.102,39.7
3763925,0.3497,0.769,3.39,0.00692,2.69
3763975,0.2485,1.008,7.74,0.0482,18.8
3764253,0.5130,1.236,26.70,0.439,171
3765030,0.5188,0.929,0.92,0.00748,2.91
3765024,0.3071,0.786,4.51,0.00183,0.713
3765025,0.3537,0.826,12.93,0.00382,1.49
3765027,0.0040,1.022,20.39,0.0159,6.18
3765029,0.6809,0.886,0.77,0.000374,0.146
54512572,0.5672,0.737,7.44,\N,\N
54512573,0.6513,1.016,5.58,\N,\N
3763929,0.6571,0.541,13.12,0.00244,0.948
3763927,0.5874,1.035,20.93,0.0467,18.2
3763928,0.5741,1.016,2.82,0.027,10.5
3763926,0.4498,1.002,1.35,0.0134,5.2
3763930,0.7411,0.474,0.22,0.00148,0.576
3763937,0.4770,0.839,2.75,0.00633,2.46
3763938,0.6258,0.847,3.63,0.0141,5.48
3763941,0.5743,0.969,6.64,0.0514,20
3763942,0.5626,0.792,3.97,0.00935,3.64
3763940,0.2821,0.652,1.84,0.00868,3.38
3763943,0.5519,1.106,4.16,0.12,46.7
3763939,0.4468,0.860,1.19,0.000302,0.117
3763945,0.1747,0.855,8.41,0.000828,0.322
3763946,0.5556,1.042,3.99,0.058,22.6
3763948,0.4887,0.715,1.85,0.0243,9.46
3763947,0.3271,0.802,12.42,0.0242,9.42
3763944,0.1701,0.705,1.96,0.00308,1.2
3763950,0.4028,0.966,2.93,0.0037,1.44
3763949,0.4831,1.216,7.91,0.232,90.4
3763953,0.5967,1.018,3.27,0.0331,12.9
3763958,0.2027,0.983,11.83,0.0435,16.9
3763956,0.3522,0.763,26.88,0.00699,2.72
3763957,0.6195,0.807,3.14,0.006,2.34
3763955,0.5932,0.915,14.73,0.175,68.1
3763954,0.5232,0.844,30.00,0.0858,33.4
3763959,0.4674,0.962,0.23,0.000291,0.113
3763973,0.4310,0.850,10.32,0.0296,11.5
3763972,0.4735,0.837,23.50,0.0936,36.4
3763974,0.4159,0.859,29.56,0.0891,34.7
3764251,0.6325,0.673,13.34,0.213,82.9
3764252,0.2230,0.878,35.17,0.00986,3.84
3764254,0.4141,1.256,21.02,0.458,178
3764255,0.4989,0.779,1.09,0.00616,2.4
3764703,0.2400,0.893,8.85,0.0031,1.21
3764704,0.5736,0.980,0.51,0.00524,2.04
3764705,0.5961,0.935,1.29,0.000601,0.234
3764706,0.4619,0.840,6.85,0.0505,19.7
3764720,0.2632,1.017,5.43,0.0582,22.7
3764719,0.1224,0.893,0.63,0.0039,1.52
3764722,0.4787,1.191,21.03,0.313,122
3764721,0.3181,0.983,18.73,0.156,60.9
3764724,0.5904,0.802,1.40,0.00221,0.861
3764723,0.1216,1.278,16.77,0.296,115
3764725,0.3707,1.249,21.91,0.267,104
3764729,0.2061,0.990,0.67,0.00981,3.82
3764728,0.8231,0.475,16.22,0.2,77.7
3764727,0.2385,0.665,0.65,0.00377,1.47
3764726,0.2181,0.745,4.53,0.00313,1.22
3764797,0.5425,0.894,4.97,0.0113,4.39
3764800,0.1854,0.861,10.01,0.0136,5.3
3764799,0.3093,1.000,3.42,0.0243,9.47
3764798,0.1827,0.720,8.28,0.00899,3.5
3764801,0.5752,1.002,12.91,0.0679,26.4
3764803,0.3477,1.019,18.20,0.072,28
3764802,0.1218,0.805,11.16,0.0408,15.9
3764807,0.0449,0.995,6.23,0.0162,6.32
3764806,0.4418,0.467,19.77,0.0113,4.38
3764805,0.3452,1.013,4.07,0.0277,10.8
3764804,0.1133,1.018,15.61,0.0325,12.7
3764822,0.2334,0.859,15.56,0.015,5.84
3764826,0.3798,0.888,20.72,0.0184,7.15
3764824,0.2911,0.836,6.68,0.00127,0.493
3764825,0.4864,0.898,11.27,0.0285,11.1
3764837,0.8986,0.248,15.78,0.195,75.9
3764833,0.6416,0.970,21.68,0.0531,20.7
3764832,0.3574,0.975,20.62,0.116,45.1
3764831,0.5355,1.105,8.28,0.183,71.2
3764835,0.2416,0.902,5.64,0.0312,12.2
3764830,0.2506,0.973,21.91,0.0677,26.3
3764834,0.5602,1.066,6.18,0.0859,33.4
3764829,0.1325,0.829,13.32,0.0753,29.3
3764836,0.6119,0.824,2.83,0.0145,5.66
3764838,0.0929,0.990,22.02,0.0169,6.57
3764843,0.4869,1.028,14.02,0.0379,14.8
3764845,0.3372,0.995,4.07,0.0107,4.16
3764842,0.1288,1.199,20.39,0.21,81.9
3764846,0.4628,1.082,3.50,0.092,35.8
3764848,0.6650,0.954,15.18,0.0124,4.81
3764847,0.6420,0.839,5.78,0.0289,11.2
3764859,0.3362,0.904,31.99,0.108,41.9
3764861,0.7565,0.857,11.73,0.0396,15.4
3764860,0.3549,0.951,17.73,0.0568,22.1
3764863,0.6899,0.879,21.49,0.0152,5.92
3764862,0.4686,1.144,15.04,0.195,75.7
3764887,0.6753,0.457,13.96,0.168,65.2
3764889,0.4838,0.928,2.77,0.0048,1.87
3764888,0.4445,1.241,23.38,0.373,145
3764886,0.5680,0.773,4.50,0.0615,23.9
3764885,0.5796,0.654,1.84,0.0237,9.21
3764891,0.6586,0.855,10.54,0.0735,28.6
3764890,0.4118,0.888,9.11,0.0109,4.22
3765003,0.1218,0.946,11.49,0.0119,4.63
3765005,0.6408,0.984,4.84,0.0577,22.4
3765002,0.2807,1.050,12.89,0.0623,24.2
3765007,0.5317,1.087,2.55,0.113,43.9
3765018,0.6822,0.934,24.39,0.0741,28.8
3765015,0.5346,1.247,11.34,0.264,103
3765990,0.6090,0.554,21.36,0.328,128
3765991,0.6167,0.885,4.08,0.0365,14.2
3766079,0.5339,0.756,5.04,0.00286,1.11
54512577,0.5931,0.999,2.50,\N,\N
54512578,0.6865,0.307,0.70,\N,\N
54512579,0.4220,0.920,28.62,\N,\N
54512580,0.6243,0.935,5.30,\N,\N
54512581,0.6498,0.921,17.30,\N,\N
54512582,0.8344,0.358,3.72,\N,\N
54512583,0.1527,0.735,12.31,\N,\N
54512574,0.2342,0.709,12.94,\N,\N
54512575,0.1088,0.824,49.40,\N,\N
54512576,0.4349,0.903,1.14,\N,\N
3765004,0.5293,0.889,2.49,0.0112,4.37
3765006,0.5886,1.011,3.82,0.0309,12
3765016,0.2417,0.803,0.97,0.00318,1.24
3765014,0.2218,0.824,15.89,0.054,21
3765017,0.4385,0.847,7.87,0.00793,3.09
3765019,0.5493,1.036,5.44,0.0489,19
3765021,0.2234,0.990,6.21,0.0116,4.53
3765020,0.5045,0.935,3.25,0.00996,3.87
3765022,0.4888,0.957,14.56,0.0233,9.08
3765532,0.7684,0.329,10.28,0.0383,14.9
3765533,0.5930,0.863,32.39,0.101,39.5
3765609,0.5572,0.999,6.90,0.0205,7.97
3765608,0.6039,1.003,0.76,0.0155,6.02
3765610,0.1281,1.010,11.63,0.0957,37.3
3765611,0.6029,0.617,2.08,0.0223,8.67
3765612,0.4247,1.252,5.51,0.266,104
3765638,0.5241,1.032,27.38,0.0915,35.6
3765642,0.7513,0.510,7.02,0.000889,0.346
3765641,0.4986,0.584,11.83,0.121,46.9
3765639,0.8969,0.233,27.40,0.0519,20.2
3765640,0.2571,0.629,8.28,0.043,16.7
3765643,0.3597,0.934,7.58,0.0443,17.2
3765646,0.3868,1.026,0.88,0.0341,13.3
3765645,0.3305,0.909,6.58,0.0498,19.4
3765647,0.7151,0.654,28.21,0.0325,12.6
3765644,0.2555,1.033,17.24,0.0568,22.1
3765657,0.5283,0.923,2.87,0.0114,4.45
3765661,0.7545,0.657,11.38,0.0183,7.13
3765660,0.3327,1.039,10.89,0.0767,29.9
3765704,0.8339,0.323,17.74,0.022,8.58
3765700,0.5422,1.122,21.06,0.137,53.4
3765705,0.6694,0.678,8.93,0.00743,2.89
3765699,0.6303,1.039,1.73,0.0497,19.4
3765702,0.1558,0.771,13.09,0.0607,23.6
3765707,0.1842,0.983,19.20,0.0928,36.1
3765703,0.4361,1.133,12.28,0.157,61.1
3765701,0.5159,0.999,6.42,0.0778,30.3
3765706,0.6512,0.724,3.99,0.0445,17.3
3765708,0.6193,0.977,5.78,0.00554,2.16
3765709,0.2845,0.969,8.38,0.032,12.5
3765710,0.6318,0.810,6.48,0.0272,10.6
3765936,0.5248,0.950,1.00,0.00454,1.77
3765942,0.6897,0.585,17.81,0.00429,1.67
3765944,0.4627,1.011,1.21,0.0276,10.7
3765943,0.4394,1.150,12.90,0.166,64.5
3766012,0.5579,0.929,1.87,0.000721,0.281
3766015,0.3402,0.808,26.15,0.0477,18.6
3766032,0.6450,0.874,37.96,0.0257,10
3766034,0.5439,1.233,17.49,0.243,94.6
3766036,0.1483,0.911,7.06,0.00298,1.16
3766039,0.5713,1.197,28.14,0.219,85.3
3766040,0.5055,1.141,17.08,0.268,104
3766048,0.4652,1.248,7.58,0.263,102
3766081,0.9904,1.267,145.63,0.615,239
54512584,0.3483,0.755,40.62,\N,\N
3766049,0.1096,1.007,8.48,0.024,9.35
3766052,0.6035,0.992,3.80,0.00996,3.87
3766053,0.4887,1.008,7.56,0.0234,9.09
3766054,0.4742,0.358,2.22,0.00754,2.93
3766050,0.4602,0.898,2.48,0.000912,0.355
3766051,0.5800,0.958,4.49,0.0379,14.7
3766065,0.5877,1.033,14.59,0.0492,19.1
3766070,0.5272,1.109,44.97,0.382,148
3766066,0.5669,0.991,1.80,0.0103,4.01
3766067,0.6192,0.872,6.00,0.0104,4.04
3766068,0.1548,0.959,11.19,0.0187,7.28
3766069,0.0673,0.958,3.45,0.0145,5.63
3766071,0.6032,0.973,2.96,0.00133,0.519
3766076,0.6669,0.870,10.38,0.0186,7.24
3766075,0.3946,0.996,12.27,0.0108,4.21
3766077,0.1582,0.826,16.61,0.031,12.1
3766090,0.5425,1.027,5.66,0.103,39.9
3766091,0.2225,0.895,7.67,0.0318,12.4
3766092,0.2565,1.262,13.15,0.377,147
3766117,0.5897,0.777,3.63,0.0373,14.5
3766118,0.1492,1.070,16.83,0.156,60.8
3766121,0.4597,0.880,6.82,0.0375,14.6
3766122,0.4589,0.935,1.99,0.00897,3.49
3766123,0.3846,1.055,53.39,0.163,63.5
3766124,0.2678,0.927,22.10,0.0811,31.6
3766127,0.6454,0.955,7.15,0.0227,8.83
3766128,0.2403,0.661,10.14,0.00535,2.08
3766130,0.4530,1.022,35.43,0.261,102
3766129,0.7286,0.752,3.23,0.0109,4.24
3766131,0.7104,0.712,8.26,0.079,30.8
3766132,0.2090,1.013,1.00,0.0317,12.3
3766160,0.4489,0.590,16.32,0.036,14
3766161,0.4599,0.907,11.56,0.0533,20.7
3766162,0.3540,1.282,26.26,0.4,156
3766163,0.5952,0.883,1.80,0.019,7.37
3766164,0.2237,0.843,6.06,0.00121,0.469
3766165,0.6454,0.877,13.99,0.0272,10.6
3766177,0.2094,0.924,7.78,0.0681,26.5
3766174,0.2890,1.294,16.98,0.435,169
3766175,0.1846,1.210,8.69,0.26,101
3766176,0.4444,1.100,9.15,0.154,59.7
3766180,0.4977,1.176,5.41,0.189,73.7
3766182,0.5091,1.254,30.25,0.405,158
3766183,0.3500,0.777,36.82,0.153,59.7
3766185,0.6254,0.748,9.10,0.0343,13.4
3766181,0.4029,1.077,22.91,0.295,115
3766184,0.3380,1.137,33.38,0.276,107
3766193,0.5025,1.289,26.82,0.517,201
3766236,0.2161,0.908,14.56,0.02,7.8
3766237,0.4591,1.225,24.44,0.25,97.1
3766238,0.5298,0.896,14.51,0.0427,16.6
3766247,0.5647,1.175,7.41,0.198,77.1
3766248,0.4062,1.037,17.16,0.061,23.8
3766344,0.4702,0.776,4.79,0.00971,3.78
3766653,0.5303,1.229,11.40,0.254,98.8
54512585,0.3198,0.985,22.51,\N,\N
3766292,0.3013,0.978,38.56,0.0712,27.7
3766294,0.6400,0.664,9.50,0.0216,8.42
3766293,0.1908,0.826,14.72,0.0305,11.9
3766295,0.4761,0.823,1.59,0.0242,9.41
3766296,0.1188,0.900,17.77,0.113,44.1
3766298,0.1283,1.088,26.15,0.109,42.6
3766297,0.4655,0.913,6.42,0.000928,0.361
3766323,0.2779,1.239,33.82,0.255,99.3
3766325,0.5380,0.931,6.61,0.0263,10.2
3766324,0.5092,0.735,6.15,0.0713,27.8
3766326,0.2704,0.946,4.03,0.00231,0.899
3766339,0.5469,1.055,32.39,0.0755,29.4
3766334,0.3111,1.000,13.22,0.0887,34.5
3766338,0.2689,1.038,60.28,0.0221,8.6
3766335,0.6587,0.427,20.28,0.0116,4.5
3766336,0.5994,0.975,0.68,0.00661,2.57
3766337,0.5334,0.966,1.48,0.00463,1.8
3766340,0.4204,0.954,29.18,0.0551,21.4
3766341,0.0907,0.931,7.70,0.0375,14.6
3766343,0.6826,0.695,1.95,0.00101,0.394
3766342,0.2649,1.011,2.66,0.0279,10.8
3766362,0.4935,1.178,11.26,0.191,74.2
3766359,0.4835,0.924,0.82,0.00375,1.46
3766361,0.3475,0.879,1.71,0.00252,0.982
3766363,0.7133,0.604,2.99,0.0206,8.02
3766431,0.5762,0.839,12.83,0.0134,5.2
3766432,0.3552,0.976,8.19,0.00479,1.87
3766433,0.4288,0.550,16.45,6.41e-05,0.0249
3766434,0.5550,0.520,22.73,0.129,50.2
3766438,0.4926,0.966,12.71,0.0141,5.48
3766437,0.6099,0.923,8.69,0.0142,5.54
3766436,0.3684,0.824,13.37,0.0258,10
3766435,0.4353,0.793,20.45,0.0367,14.3
3766440,0.4271,1.023,5.59,0.0421,16.4
3766439,0.6524,0.939,9.83,0.0779,30.3
3766463,0.5567,0.869,5.74,0.0123,4.8
3766462,0.2657,0.682,18.32,0.146,56.9
3766464,0.4474,0.933,9.05,0.0507,19.7
3766465,0.3882,0.981,8.27,0.0676,26.3
3766489,0.3541,0.996,13.39,0.15,58.5
3766499,0.3688,0.944,19.78,0.0344,13.4
3766500,0.5429,0.944,13.06,0.00912,3.55
3766497,0.4826,0.965,9.45,0.029,11.3
3766543,0.4869,1.237,6.66,0.264,103
3766569,0.5729,1.204,15.62,0.229,89.2
3766587,0.7482,0.725,13.86,0.211,82.1
3766595,0.8470,0.609,50.71,0.394,153
3766665,0.2483,0.791,4.20,0.00303,1.18
3766670,0.3336,1.240,17.63,0.278,108
3766654,0.4776,1.004,2.33,0.0167,6.52
3766655,0.8018,0.637,12.88,0.0687,26.7
3766657,0.2879,1.016,3.23,0.0322,12.5
3766658,0.1789,0.903,3.06,0.00715,2.78
3766659,0.3700,1.135,2.48,0.156,60.8
3766660,0.1127,0.958,12.99,0.0361,14.1
3766575,0.4910,0.972,6.64,0.0342,13.3
3766588,0.2235,0.996,10.27,0.0123,4.77
3766592,0.2376,1.053,9.58,0.0727,28.3
3766591,0.2515,0.763,1.50,0.0229,8.91
3766589,0.3873,0.906,13.68,0.0271,10.6
3766590,0.1397,0.925,4.76,0.0101,3.94
3766593,0.3577,0.938,4.61,0.000578,0.225
3766594,0.2440,0.928,2.37,0.00177,0.687
3766607,0.7483,0.608,14.46,0.144,56.1
3766608,0.6073,0.790,6.60,0.0187,7.29
3766632,0.1846,1.151,12.69,0.173,67.3
3766633,0.4510,1.217,22.99,0.437,170
3766634,0.1775,0.806,13.73,0.00907,3.53
3766675,0.4959,1.044,4.03,0.0559,21.7
3766676,0.3419,1.092,30.89,0.135,52.4
3766677,0.5178,1.038,5.68,0.06,23.4
3766964,0.7229,0.433,22.29,0.00345,1.34
3766963,0.5505,0.780,7.68,0.0924,36
3766965,0.4849,0.891,5.39,0.00469,1.82
3766966,0.0078,1.009,11.23,0.00749,2.92
3766995,0.4179,1.052,4.64,0.0667,26
3766994,0.5099,0.995,11.96,0.0162,6.32
3766998,0.6801,0.725,17.38,0.0777,30.2
3766997,0.1393,1.015,28.18,0.0346,13.5
3766993,0.4276,0.896,4.35,0.0123,4.79
3766996,0.5606,0.870,4.89,0.0176,6.83
3766999,0.5836,0.956,5.04,0.00166,0.645
3767000,0.5392,0.764,0.34,0.00336,1.31
3767010,0.2754,0.678,1.86,0.0139,5.41
3767011,0.3310,1.018,20.16,0.0818,31.8
3767007,0.5308,0.914,9.00,0.0122,4.76
3767008,0.3346,0.587,6.69,0.00989,3.85
3767009,0.1795,0.981,13.79,0.0524,20.4
3767005,0.6332,0.911,5.59,0.0331,12.9
3767006,0.5143,0.989,4.07,0.065,25.3
3767004,0.4590,1.025,18.40,0.121,47
3767003,0.4902,0.944,5.68,0.0157,6.13
3767012,0.4624,1.027,2.32,0.0387,15.1
3767013,0.2928,0.935,10.04,0.0428,16.6
3767015,0.0931,0.985,5.83,0.0378,14.7
3767016,0.6442,0.606,0.10,0.000813,0.316
3767014,0.2108,0.742,5.75,0.00739,2.88
3767037,0.3058,0.650,7.53,0.0488,19
3767036,0.2631,1.271,16.14,0.286,111
3767035,0.1342,1.023,2.61,0.0386,15
3767038,0.1694,1.052,13.60,0.0688,26.8
3767040,0.5896,1.065,1.90,0.0799,31.1
3767039,0.3429,0.874,25.31,0.0634,24.7
3767155,0.4354,1.102,30.10,0.147,57.1
3767151,0.1903,0.795,2.98,0.00937,3.65
3767153,0.7379,0.374,27.73,0.104,40.3
3767157,0.6652,0.750,5.89,0.0092,3.58
3767152,0.1301,0.909,3.62,0.00977,3.8
3767154,0.1070,0.942,1.63,0.00596,2.32
3767158,0.6561,0.796,1.88,0.000799,0.311
3767159,0.2897,0.943,0.58,0.00265,1.03
3767160,0.6308,0.968,1.19,0.0019,0.738
3767162,0.2384,0.863,2.85,0.00032,0.125
3767161,0.5981,0.661,4.10,0.00425,1.66
3767165,0.5405,1.009,5.91,0.0237,9.24
3767164,0.2313,0.713,25.07,0.12,46.6
3767163,0.2672,0.956,8.76,0.0365,14.2
3767166,0.5352,0.882,4.05,0.00939,3.65
3767167,0.2117,0.849,23.81,0.00283,1.1
3767244,0.8512,0.366,24.79,0.142,55.4
3767243,0.4933,0.903,6.61,0.0645,25.1
3767242,0.4821,1.091,2.15,0.107,41.7
3767248,0.6962,0.644,1.57,0.0232,9.03
3767247,0.6788,0.731,8.19,0.101,39.2
3767249,0.5539,0.958,7.94,0.0257,10
3767250,0.4682,0.672,19.83,0.0247,9.62
3767246,0.4755,1.200,8.25,0.217,84.5
3767254,0.3854,1.240,8.64,0.231,89.8
3767251,0.6312,0.782,3.17,0.00144,0.559
3767253,0.2253,1.237,24.04,0.387,150
3767252,0.3774,1.035,5.14,0.0899,35
3767257,0.4468,1.047,3.66,0.0778,30.3
3767260,0.5840,0.848,2.42,0.0242,9.42
3767262,0.6983,0.418,10.95,0.155,60.5
3767263,0.0856,1.056,8.66,0.0824,32.1
3767261,0.2001,0.953,6.40,0.0219,8.51
3767255,0.2388,0.870,11.29,0.00234,0.909
3767259,0.2100,1.037,23.70,0.0515,20.1
3767258,0.1851,1.012,13.18,0.0258,10
3767256,0.5275,0.967,2.02,0.0177,6.89
3767264,0.3376,0.633,8.82,0.000605,0.235
3767312,0.1762,1.122,22.51,0.212,82.5
3767310,0.2385,0.847,7.35,0.0139,5.41
3767313,0.3709,1.247,4.15,0.259,101
3767314,0.2934,1.197,4.93,0.208,80.8
3767315,0.1668,0.921,2.31,0.0062,2.41
3769388,0.4619,1.276,7.88,0.28,109
3767316,0.3265,0.982,12.57,0.0896,34.9
3767318,0.3296,0.738,4.93,0.0481,18.7
3767319,0.1437,1.143,5.48,0.162,63.2
3767317,0.6414,1.153,34.31,0.172,66.9
3767323,0.4735,1.120,40.82,0.47,183
3767320,0.5904,0.957,4.58,0.0186,7.25
3767322,0.2593,0.930,0.35,0.00374,1.46
3767324,0.2901,0.777,18.68,0.216,84
3767321,0.5307,1.218,22.89,0.231,89.8
3767325,0.6066,0.534,12.73,0.0318,12.4
3767326,0.5076,0.627,22.40,0.298,116
3767609,0.1469,1.095,17.89,0.128,49.9
3767871,0.4821,0.994,1.13,0.0102,3.95
3767927,0.6171,0.753,2.13,0.0195,7.6
3767929,0.4730,0.864,0.97,0.00308,1.2
3767925,0.0515,0.991,2.12,0.0186,7.23
3767928,0.5009,1.106,19.97,0.355,138
3767930,0.0352,1.222,17.70,0.256,99.6
3767936,0.4225,0.907,38.64,0.0251,9.75
3767926,0.7211,1.155,15.40,0.223,86.7
3767935,0.5107,0.764,11.77,0.0189,7.37
3767931,0.7925,0.496,6.32,0.0673,26.2
3767933,0.4029,0.586,22.40,0.166,64.4
3767934,0.1156,0.853,4.61,0.0411,16
3767937,0.3708,0.879,2.59,0.0147,5.73
3768016,0.5863,0.538,4.38,0.000522,0.203
3768017,0.6382,0.609,30.82,0.0278,10.8
3768018,0.4728,0.673,35.62,0.313,122
3768606,0.7142,0.435,11.68,0.173,67.3
3768607,0.4620,1.077,2.99,0.0914,35.6
3768609,0.2970,0.922,7.83,0.0262,10.2
3768613,0.3578,0.572,25.21,0.202,78.7
3769436,0.4978,0.550,27.78,0.0165,6.43
3769438,0.0525,0.943,27.61,0.0515,20.1
54512586,0.3322,0.907,15.96,\N,\N
54166170,0.4917,1.237,4.36,0.235,91.6
54429048,0.1330,1.061,2.01,0.0778,30.3
54467535,0.4985,1.056,1.97,0.0715,27.8
3767932,0.4783,0.566,28.94,0.18,70
3768022,0.2676,1.011,1.88,0.0282,11
3768021,0.2138,0.890,4.94,0.0207,8.07
3768024,0.6227,0.553,9.98,0.11,42.8
3768023,0.6438,0.727,6.13,0.00863,3.36
3768019,0.6163,0.995,6.96,0.0184,7.17
3768025,0.3354,1.011,17.44,0.0282,11
3768612,0.3528,1.146,6.48,0.165,64.4
3768608,0.5778,0.981,28.07,0.00343,1.34
3768610,0.7052,0.569,17.70,0.299,116
